Track - Dec - Savoyer Au -sO2, 97.0
Cycling - Oct - Riegerau -sO2, 95.0
Cycling - Sep - Eittingermoos -sO2, 96.0
Longboard - Feb - Zaragoza -sO2, 94.0
Longboard - Mar - Montserrat -sO2, 93.0
Longboard - Aug - Ljubljana -sO2, 95.0
Windsurfing - Sep - Cannobio -sO2, 94.0
Longboard - Feb - Monaco -sO2, 95.0
Longboard - Mar - Antibes -sO2, 96.0
Longboard - Feb - Zurich -sO2, 95.0
Longboard - Sep - Novigrad -sO2, 97.0


